Form,Predicted Gender,True Gender,Class Probabilities,Set,Run
ʒyʁ2,m,m,"[('ʒ', {'f': 0.027366330847144127, 'm': 0.9726336002349854}), ('y', {'f': 0.03908049315214157, 'm': 0.9609194993972778}), ('ʁ', {'f': 0.9815768599510193, 'm': 0.018423115834593773}), ('2', {'f': 0.0496356338262558, 'm': 0.9503644108772278})]",test,8
k3kɛ,m,m,"[('k', {'f': 0.2737855613231659, 'm': 0.7262144684791565}), ('3', {'f': 0.0016210166504606605, 'm': 0.9983789920806885}), ('k', {'f': 0.5854842662811279, 'm': 0.4145157039165497}), ('ɛ', {'f': 9.518671868136153e-05, 'm': 0.9999047517776489})]",test,8
sij2,m,m,"[('s', {'f': 0.2531469166278839, 'm': 0.7468530535697937}), ('i', {'f': 0.9655953049659729, 'm': 0.034404683858156204}), ('j', {'f': 0.3921816945075989, 'm': 0.6078182458877563}), ('2', {'f': 0.013123518787324429, 'm': 0.9868764877319336})]",test,8
pil2,m,m,"[('p', {'f': 0.4521099328994751, 'm': 0.5478900671005249}), ('i', {'f': 0.44371604919433594, 'm': 0.5562839508056641}), ('l', {'f': 0.4404987692832947, 'm': 0.5595011711120605}), ('2', {'f': 0.0004883338115178049, 'm': 0.99951171875})]",test,8
s1gl,m,f,"[('s', {'f': 0.2531469166278839, 'm': 0.7468530535697937}), ('1', {'f': 7.031035238469485e-06, 'm': 0.9999929666519165}), ('g', {'f': 0.6064107418060303, 'm': 0.3935893476009369}), ('l', {'f': 0.009631824679672718, 'm': 0.9903682470321655})]",test,8
tʁam,m,f,"[('t', {'f': 0.41268742084503174, 'm': 0.5873125195503235}), ('ʁ', {'f': 0.016855798661708832, 'm': 0.9831441640853882}), ('a', {'f': 0.04336955398321152, 'm': 0.9566304087638855}), ('m', {'f': 0.013441299088299274, 'm': 0.9865586757659912})]",test,8
aʁom,m,m,"[('a', {'f': 0.45509374141693115, 'm': 0.5449062585830688}), ('ʁ', {'f': 0.002202724339440465, 'm': 0.9977972507476807}), ('o', {'f': 0.0917976051568985, 'm': 0.9082024097442627}), ('m', {'f': 0.017215624451637268, 'm': 0.9827843904495239})]",test,8
abʁi,f,m,"[('a', {'f': 0.45509374141693115, 'm': 0.5449062585830688}), ('b', {'f': 0.02968304418027401, 'm': 0.9703168869018555}), ('ʁ', {'f': 0.022306200116872787, 'm': 0.9776937961578369}), ('i', {'f': 0.9500505328178406, 'm': 0.04994941130280495})]",test,8
obɛʁ,f,m,"[('o', {'f': 0.022580422461032867, 'm': 0.9774196147918701}), ('b', {'f': 0.25968071818351746, 'm': 0.7403192520141602}), ('ɛ', {'f': 0.016354059800505638, 'm': 0.9836459159851074}), ('ʁ', {'f': 0.6210010647773743, 'm': 0.37899890542030334})]",test,8
pʁɔt,m,m,"[('p', {'f': 0.4521099328994751, 'm': 0.5478900671005249}), ('ʁ', {'f': 0.13006243109703064, 'm': 0.8699375987052917}), ('ɔ', {'f': 0.18938398361206055, 'm': 0.8106160163879395}), ('t', {'f': 0.03801371529698372, 'm': 0.9619863033294678})]",test,8
file,m,m,"[('f', {'f': 0.12870793044567108, 'm': 0.8712920546531677}), ('i', {'f': 0.5734684467315674, 'm': 0.42653152346611023}), ('l', {'f': 0.11651170253753662, 'm': 0.8834882378578186}), ('e', {'f': 0.41821616888046265, 'm': 0.5817838311195374})]",test,8
sɥœʁ,m,f,"[('s', {'f': 0.2531469166278839, 'm': 0.7468530535697937}), ('ɥ', {'f': 0.8653867840766907, 'm': 0.13461318612098694}), ('œ', {'f': 0.29674336314201355, 'm': 0.7032566070556641}), ('ʁ', {'f': 0.007926883175969124, 'm': 0.992073118686676})]",test,8
flɔʁ,m,f,"[('f', {'f': 0.12870793044567108, 'm': 0.8712920546531677}), ('l', {'f': 0.26423701643943787, 'm': 0.7357629537582397}), ('ɔ', {'f': 0.04017765820026398, 'm': 0.9598222970962524}), ('ʁ', {'f': 0.03118157759308815, 'm': 0.9688183665275574})]",test,8
bʁib,f,f,"[('b', {'f': 0.20915988087654114, 'm': 0.7908400893211365}), ('ʁ', {'f': 0.31991875171661377, 'm': 0.6800811886787415}), ('i', {'f': 0.7560500502586365, 'm': 0.24394991993904114}), ('b', {'f': 0.8060048222541809, 'm': 0.1939951330423355})]",test,8
tabu,m,m,"[('t', {'f': 0.41268742084503174, 'm': 0.5873125195503235}), ('a', {'f': 0.6753571033477783, 'm': 0.3246428370475769}), ('b', {'f': 0.030324194580316544, 'm': 0.9696757793426514}), ('u', {'f': 0.028486479073762894, 'm': 0.9715135097503662})]",test,8
kuto,m,m,"[('k', {'f': 0.2737855613231659, 'm': 0.7262144684791565}), ('u', {'f': 0.011505784466862679, 'm': 0.9884942173957825}), ('t', {'f': 0.15420429408550262, 'm': 0.8457956314086914}), ('o', {'f': 0.011417504400014877, 'm': 0.9885824918746948})]",test,8
bOlɛ,m,m,"[('b', {'f': 0.20915988087654114, 'm': 0.7908400893211365}), ('O', {'f': 0.08208499848842621, 'm': 0.9179150462150574}), ('l', {'f': 0.6077010631561279, 'm': 0.3922989070415497}), ('ɛ', {'f': 0.0006159060285426676, 'm': 0.9993840456008911})]",test,8
pyʁe,m,f,"[('p', {'f': 0.4521099328994751, 'm': 0.5478900671005249}), ('y', {'f': 0.08778838068246841, 'm': 0.9122116565704346}), ('ʁ', {'f': 0.9820029735565186, 'm': 0.01799708791077137}), ('e', {'f': 0.44369155168533325, 'm': 0.556308388710022})]",test,8
tisy,m,m,"[('t', {'f': 0.41268742084503174, 'm': 0.5873125195503235}), ('i', {'f': 0.2953149378299713, 'm': 0.7046850323677063}), ('s', {'f': 0.5802059173583984, 'm': 0.4197940528392792}), ('y', {'f': 0.4532557427883148, 'm': 0.5467442870140076})]",test,8
3st3,m,m,"[('3', {'f': 0.002987450920045376, 'm': 0.9970124959945679}), ('s', {'f': 0.6905409693717957, 'm': 0.30945903062820435}), ('t', {'f': 0.03310702368617058, 'm': 0.9668930172920227}), ('3', {'f': 0.011183807626366615, 'm': 0.9888161420822144})]",test,8
pupe,m,f,"[('p', {'f': 0.4521099328994751, 'm': 0.5478900671005249}), ('u', {'f': 0.02711687795817852, 'm': 0.9728831648826599}), ('p', {'f': 0.15805116295814514, 'm': 0.8419488072395325}), ('e', {'f': 0.11732101440429688, 'm': 0.8826790452003479})]",test,8
biʁb,m,m,"[('b', {'f': 0.20915988087654114, 'm': 0.7908400893211365}), ('i', {'f': 0.17974284291267395, 'm': 0.8202571868896484}), ('ʁ', {'f': 0.45449721813201904, 'm': 0.5455027222633362}), ('b', {'f': 0.1246575266122818, 'm': 0.8753424286842346})]",test,8
afʁø,m,m,"[('a', {'f': 0.45509374141693115, 'm': 0.5449062585830688}), ('f', {'f': 0.267477810382843, 'm': 0.732522189617157}), ('ʁ', {'f': 0.23157204687595367, 'm': 0.7684279084205627}), ('ø', {'f': 0.004540150985121727, 'm': 0.9954598546028137})]",test,8
taly,m,m,"[('t', {'f': 0.41268742084503174, 'm': 0.5873125195503235}), ('a', {'f': 0.6753571033477783, 'm': 0.3246428370475769}), ('l', {'f': 0.30778342485427856, 'm': 0.6922165155410767}), ('y', {'f': 0.04772297665476799, 'm': 0.9522770047187805})]",test,8
bibl,m,f,"[('b', {'f': 0.20915988087654114, 'm': 0.7908400893211365}), ('i', {'f': 0.17974284291267395, 'm': 0.8202571868896484}), ('b', {'f': 0.4317077398300171, 'm': 0.5682922005653381}), ('l', {'f': 0.07102145999670029, 'm': 0.9289785027503967})]",test,8
lutʁ,m,f,"[('l', {'f': 0.48279592394828796, 'm': 0.5172040462493896}), ('u', {'f': 0.025241771712899208, 'm': 0.9747581481933594}), ('t', {'f': 0.4557033181190491, 'm': 0.5442966222763062}), ('ʁ', {'f': 0.013932200148701668, 'm': 0.9860678315162659})]",test,8
dʁag,m,m,"[('d', {'f': 0.4838482439517975, 'm': 0.5161517858505249}), ('ʁ', {'f': 0.09146562218666077, 'm': 0.9085344076156616}), ('a', {'f': 0.32455992698669434, 'm': 0.6754400134086609}), ('g', {'f': 0.1737983673810959, 'm': 0.8262016773223877})]",test,8
gʁup,m,m,"[('g', {'f': 0.38787534832954407, 'm': 0.6121246218681335}), ('ʁ', {'f': 0.003434761194512248, 'm': 0.9965652823448181}), ('u', {'f': 0.013174752704799175, 'm': 0.9868252873420715}), ('p', {'f': 0.17307142913341522, 'm': 0.8269285559654236})]",test,8
ʃjœʁ,m,m,"[('ʃ', {'f': 0.7070885300636292, 'm': 0.29291146993637085}), ('j', {'f': 0.048384103924036026, 'm': 0.9516158699989319}), ('œ', {'f': 0.09981336444616318, 'm': 0.9001866579055786}), ('ʁ', {'f': 0.005841669626533985, 'm': 0.9941583871841431})]",test,8
midi,m,m,"[('m', {'f': 0.0814233347773552, 'm': 0.9185765981674194}), ('i', {'f': 0.8112047910690308, 'm': 0.18879517912864685}), ('d', {'f': 0.0327499620616436, 'm': 0.9672501087188721}), ('i', {'f': 0.21177972853183746, 'm': 0.7882203459739685})]",test,8
gʁw3,m,m,"[('g', {'f': 0.38787534832954407, 'm': 0.6121246218681335}), ('ʁ', {'f': 0.003434761194512248, 'm': 0.9965652823448181}), ('w', {'f': 0.9497069120407104, 'm': 0.05029307305812836}), ('3', {'f': 0.0004636739904526621, 'm': 0.999536395072937})]",test,8
ɛʁgo,m,m,"[('ɛ', {'f': 0.01949511282145977, 'm': 0.9805049300193787}), ('ʁ', {'f': 0.13883458077907562, 'm': 0.8611654043197632}), ('g', {'f': 0.4323687255382538, 'm': 0.5676312446594238}), ('o', {'f': 0.008034346625208855, 'm': 0.991965651512146})]",test,8
p1dy,m,m,"[('p', {'f': 0.4521099328994751, 'm': 0.5478900671005249}), ('1', {'f': 0.0005275278817862272, 'm': 0.999472439289093}), ('d', {'f': 0.4999408423900604, 'm': 0.5000591278076172}), ('y', {'f': 0.02992870844900608, 'm': 0.9700712561607361})]",test,8
amɛn,m,m,"[('a', {'f': 0.45509374141693115, 'm': 0.5449062585830688}), ('m', {'f': 0.15170960128307343, 'm': 0.8482903838157654}), ('ɛ', {'f': 0.012122835963964462, 'm': 0.9878771305084229}), ('n', {'f': 0.07770215719938278, 'm': 0.9222978353500366})]",test,8
majl,m,m,"[('m', {'f': 0.0814233347773552, 'm': 0.9185765981674194}), ('a', {'f': 0.0647868663072586, 'm': 0.9352130889892578}), ('j', {'f': 0.18482781946659088, 'm': 0.8151721954345703}), ('l', {'f': 0.08485621213912964, 'm': 0.9151437878608704})]",test,8
alfa,m,m,"[('a', {'f': 0.45509374141693115, 'm': 0.5449062585830688}), ('l', {'f': 0.277337908744812, 'm': 0.722662091255188}), ('f', {'f': 0.0657903179526329, 'm': 0.9342097043991089}), ('a', {'f': 0.030827190726995468, 'm': 0.9691727757453918})]",test,8
laps,m,m,"[('l', {'f': 0.48279592394828796, 'm': 0.5172040462493896}), ('a', {'f': 0.44838109612464905, 'm': 0.5516188740730286}), ('p', {'f': 0.37177279591560364, 'm': 0.628227174282074}), ('s', {'f': 0.012125709094107151, 'm': 0.9878743290901184})]",test,8
atuʁ,f,m,"[('a', {'f': 0.45509374141693115, 'm': 0.5449062585830688}), ('t', {'f': 0.3041093349456787, 'm': 0.6958906054496765}), ('u', {'f': 0.012941720895469189, 'm': 0.9870583415031433}), ('ʁ', {'f': 0.5169508457183838, 'm': 0.483049213886261})]",test,8
pʁut,m,m,"[('p', {'f': 0.4521099328994751, 'm': 0.5478900671005249}), ('ʁ', {'f': 0.13006243109703064, 'm': 0.8699375987052917}), ('u', {'f': 0.023436011746525764, 'm': 0.9765639305114746}), ('t', {'f': 0.01285095326602459, 'm': 0.9871490597724915})]",test,8
bwat,m,f,"[('b', {'f': 0.20915988087654114, 'm': 0.7908400893211365}), ('w', {'f': 0.05611913651227951, 'm': 0.9438808560371399}), ('a', {'f': 0.07055629789829254, 'm': 0.9294437170028687}), ('t', {'f': 0.17897236347198486, 'm': 0.8210276961326599})]",test,8
k1kʁ,m,m,"[('k', {'f': 0.2737855613231659, 'm': 0.7262144684791565}), ('1', {'f': 0.00016466676606796682, 'm': 0.9998352527618408}), ('k', {'f': 0.25734958052635193, 'm': 0.7426504492759705}), ('ʁ', {'f': 0.0008078361279331148, 'm': 0.9991921782493591})]",test,8
spɔʁ,m,m,"[('s', {'f': 0.2531469166278839, 'm': 0.7468530535697937}), ('p', {'f': 0.3228222131729126, 'm': 0.6771777868270874}), ('ɔ', {'f': 0.1005936786532402, 'm': 0.8994063138961792}), ('ʁ', {'f': 0.002515025669708848, 'm': 0.9974849224090576})]",test,8
baʁo,m,m,"[('b', {'f': 0.20915988087654114, 'm': 0.7908400893211365}), ('a', {'f': 0.4490559697151184, 'm': 0.5509440302848816}), ('ʁ', {'f': 0.002910132519900799, 'm': 0.9970898628234863}), ('o', {'f': 0.058735307306051254, 'm': 0.9412646293640137})]",test,8
taʁt,f,f,"[('t', {'f': 0.41268742084503174, 'm': 0.5873125195503235}), ('a', {'f': 0.6753571033477783, 'm': 0.3246428370475769}), ('ʁ', {'f': 0.021321287378668785, 'm': 0.9786787629127502}), ('t', {'f': 0.7271539568901062, 'm': 0.2728461027145386})]",test,8
pipo,m,m,"[('p', {'f': 0.4521099328994751, 'm': 0.5478900671005249}), ('i', {'f': 0.44371604919433594, 'm': 0.5562839508056641}), ('p', {'f': 0.26995983719825745, 'm': 0.7300401329994202}), ('o', {'f': 0.06775245815515518, 'm': 0.9322475790977478})]",test,8
skif,m,m,"[('s', {'f': 0.2531469166278839, 'm': 0.7468530535697937}), ('k', {'f': 0.2822916507720947, 'm': 0.7177083492279053}), ('i', {'f': 0.0462958924472332, 'm': 0.9537041187286377}), ('f', {'f': 0.000753006199374795, 'm': 0.9992470741271973})]",test,8
1tʁ3,m,m,"[('1', {'f': 9.912767563946545e-05, 'm': 0.9999008178710938}), ('t', {'f': 0.9919227361679077, 'm': 0.008077289909124374}), ('ʁ', {'f': 0.0017968161264434457, 'm': 0.9982031583786011}), ('3', {'f': 0.09384593367576599, 'm': 0.9061540961265564})]",test,8
flɔp,m,m,"[('f', {'f': 0.12870793044567108, 'm': 0.8712920546531677}), ('l', {'f': 0.26423701643943787, 'm': 0.7357629537582397}), ('ɔ', {'f': 0.04017765820026398, 'm': 0.9598222970962524}), ('p', {'f': 0.09608554095029831, 'm': 0.9039144515991211})]",test,8
g2bo,m,m,"[('g', {'f': 0.38787534832954407, 'm': 0.6121246218681335}), ('2', {'f': 0.0006905628251843154, 'm': 0.9993094205856323}), ('b', {'f': 0.7041411995887756, 'm': 0.29585880041122437}), ('o', {'f': 0.012767809443175793, 'm': 0.9872322082519531})]",test,8
bizu,m,m,"[('b', {'f': 0.20915988087654114, 'm': 0.7908400893211365}), ('i', {'f': 0.17974284291267395, 'm': 0.8202571868896484}), ('z', {'f': 0.992099940776825, 'm': 0.007900004275143147}), ('u', {'f': 0.018407223746180534, 'm': 0.9815927147865295})]",test,8
sOna,m,m,"[('s', {'f': 0.2531469166278839, 'm': 0.7468530535697937}), ('O', {'f': 0.08035211265087128, 'm': 0.9196479320526123}), ('n', {'f': 0.1042001023888588, 'm': 0.8957998752593994}), ('a', {'f': 0.1985739767551422, 'm': 0.8014260530471802})]",test,8
ʁɛks,m,m,"[('ʁ', {'f': 0.11384787410497665, 'm': 0.8861520886421204}), ('ɛ', {'f': 0.27289894223213196, 'm': 0.7271010875701904}), ('k', {'f': 0.2771909236907959, 'm': 0.7228090167045593}), ('s', {'f': 0.0031863178592175245, 'm': 0.9968137145042419})]",test,8
bygl,m,f,"[('b', {'f': 0.20915988087654114, 'm': 0.7908400893211365}), ('y', {'f': 0.021982466802001, 'm': 0.9780175089836121}), ('g', {'f': 0.6010484099388123, 'm': 0.39895153045654297}), ('l', {'f': 0.05215970799326897, 'm': 0.9478402733802795})]",test,8
1ʒin,f,f,"[('1', {'f': 9.912767563946545e-05, 'm': 0.9999008178710938}), ('ʒ', {'f': 0.6985357999801636, 'm': 0.3014642298221588}), ('i', {'f': 0.9466402530670166, 'm': 0.0533597394824028}), ('n', {'f': 0.9992004036903381, 'm': 0.0007996244239620864})]",test,8
kaik,m,m,"[('k', {'f': 0.2737855613231659, 'm': 0.7262144684791565}), ('a', {'f': 0.3579712510108948, 'm': 0.6420287489891052}), ('i', {'f': 0.08365771919488907, 'm': 0.9163423180580139}), ('k', {'f': 0.19120612740516663, 'm': 0.8087939023971558})]",test,8
gaʁs,f,f,"[('g', {'f': 0.38787534832954407, 'm': 0.6121246218681335}), ('a', {'f': 0.22760140895843506, 'm': 0.7723985910415649}), ('ʁ', {'f': 0.0008569263736717403, 'm': 0.9991430044174194}), ('s', {'f': 0.8157958984375, 'm': 0.18420414626598358})]",test,8
plym,m,f,"[('p', {'f': 0.4521099328994751, 'm': 0.5478900671005249}), ('l', {'f': 0.2452746331691742, 'm': 0.7547253966331482}), ('y', {'f': 0.0228122565895319, 'm': 0.9771878123283386}), ('m', {'f': 0.15430986881256104, 'm': 0.8456901907920837})]",test,8
ləv3,m,m,"[('l', {'f': 0.48279592394828796, 'm': 0.5172040462493896}), ('ə', {'f': 0.45493826270103455, 'm': 0.5450617074966431}), ('v', {'f': 0.988526463508606, 'm': 0.01147350575774908}), ('3', {'f': 0.003944690804928541, 'm': 0.9960552453994751})]",test,8
bɛst,m,m,"[('b', {'f': 0.20915988087654114, 'm': 0.7908400893211365}), ('ɛ', {'f': 0.022515034303069115, 'm': 0.9774850010871887}), ('s', {'f': 0.7457449436187744, 'm': 0.254255086183548}), ('t', {'f': 0.28359341621398926, 'm': 0.7164065837860107})]",test,8
baji,m,m,"[('b', {'f': 0.20915988087654114, 'm': 0.7908400893211365}), ('a', {'f': 0.4490559697151184, 'm': 0.5509440302848816}), ('j', {'f': 0.20257870852947235, 'm': 0.7974212765693665}), ('i', {'f': 0.08097761124372482, 'm': 0.9190223217010498})]",test,8
kaʁm,m,m,"[('k', {'f': 0.2737855613231659, 'm': 0.7262144684791565}), ('a', {'f': 0.3579712510108948, 'm': 0.6420287489891052}), ('ʁ', {'f': 0.010429837740957737, 'm': 0.989570140838623}), ('m', {'f': 0.052648864686489105, 'm': 0.9473511576652527})]",test,8
kloz,f,f,"[('k', {'f': 0.2737855613231659, 'm': 0.7262144684791565}), ('l', {'f': 0.1132408082485199, 'm': 0.8867591619491577}), ('o', {'f': 0.024740729480981827, 'm': 0.9752593040466309}), ('z', {'f': 0.960648238658905, 'm': 0.039351727813482285})]",test,8
sabʁ,m,m,"[('s', {'f': 0.2531469166278839, 'm': 0.7468530535697937}), ('a', {'f': 0.20929671823978424, 'm': 0.7907033562660217}), ('b', {'f': 0.10893769562244415, 'm': 0.8910623788833618}), ('ʁ', {'f': 0.029637860134243965, 'm': 0.97036212682724})]",test,8
1faz,f,f,"[('1', {'f': 9.912767563946545e-05, 'm': 0.9999008178710938}), ('f', {'f': 0.32792896032333374, 'm': 0.6720710396766663}), ('a', {'f': 0.13981729745864868, 'm': 0.8601826429367065}), ('z', {'f': 0.998288094997406, 'm': 0.001711839227937162})]",test,8
spun,m,m,"[('s', {'f': 0.2531469166278839, 'm': 0.7468530535697937}), ('p', {'f': 0.3228222131729126, 'm': 0.6771777868270874}), ('u', {'f': 0.03484993800520897, 'm': 0.9651501178741455}), ('n', {'f': 0.20970754325389862, 'm': 0.7902924418449402})]",test,8
lw1ʒ,m,f,"[('l', {'f': 0.48279592394828796, 'm': 0.5172040462493896}), ('w', {'f': 0.31178203225135803, 'm': 0.6882179379463196}), ('1', {'f': 2.327117181266658e-05, 'm': 0.9999767541885376}), ('ʒ', {'f': 0.28244149684906006, 'm': 0.7175585627555847})]",test,8
ʃwɛt,m,f,"[('ʃ', {'f': 0.7070885300636292, 'm': 0.29291146993637085}), ('w', {'f': 0.0028897805605083704, 'm': 0.9971103072166443}), ('ɛ', {'f': 0.007909423671662807, 'm': 0.9920905828475952}), ('t', {'f': 0.47338002920150757, 'm': 0.5266199111938477})]",test,8
maʁo,m,m,"[('m', {'f': 0.0814233347773552, 'm': 0.9185765981674194}), ('a', {'f': 0.0647868663072586, 'm': 0.9352130889892578}), ('ʁ', {'f': 0.0049707237631082535, 'm': 0.9950292706489563}), ('o', {'f': 0.024824056774377823, 'm': 0.9751759767532349})]",test,8
tape,m,f,"[('t', {'f': 0.41268742084503174, 'm': 0.5873125195503235}), ('a', {'f': 0.6753571033477783, 'm': 0.3246428370475769}), ('p', {'f': 0.5076566338539124, 'm': 0.49234336614608765}), ('e', {'f': 0.40544506907463074, 'm': 0.5945549607276917})]",test,8
kipa,m,f,"[('k', {'f': 0.2737855613231659, 'm': 0.7262144684791565}), ('i', {'f': 0.016617916524410248, 'm': 0.9833820462226868}), ('p', {'f': 0.037766024470329285, 'm': 0.9622340202331543}), ('a', {'f': 0.07761720567941666, 'm': 0.9223827123641968})]",test,8
fago,m,m,"[('f', {'f': 0.12870793044567108, 'm': 0.8712920546531677}), ('a', {'f': 0.044255781918764114, 'm': 0.955744206905365}), ('g', {'f': 0.49081718921661377, 'm': 0.5091827511787415}), ('o', {'f': 0.013815516605973244, 'm': 0.9861845374107361})]",test,8
tane,m,f,"[('t', {'f': 0.41268742084503174, 'm': 0.5873125195503235}), ('a', {'f': 0.6753571033477783, 'm': 0.3246428370475769}), ('n', {'f': 0.7110447883605957, 'm': 0.2889551818370819}), ('e', {'f': 0.4475105404853821, 'm': 0.5524894595146179})]",test,8
sale,m,m,"[('s', {'f': 0.2531469166278839, 'm': 0.7468530535697937}), ('a', {'f': 0.20929671823978424, 'm': 0.7907033562660217}), ('l', {'f': 0.20357781648635864, 'm': 0.7964221835136414}), ('e', {'f': 0.18835575878620148, 'm': 0.8116442561149597})]",test,8
diva,f,f,"[('d', {'f': 0.4838482439517975, 'm': 0.5161517858505249}), ('i', {'f': 0.280292272567749, 'm': 0.719707727432251}), ('v', {'f': 0.934111475944519, 'm': 0.06588850170373917}), ('a', {'f': 0.9203171730041504, 'm': 0.07968290150165558})]",test,8
skaj,m,m,"[('s', {'f': 0.2531469166278839, 'm': 0.7468530535697937}), ('k', {'f': 0.2822916507720947, 'm': 0.7177083492279053}), ('a', {'f': 0.032035257667303085, 'm': 0.967964768409729}), ('j', {'f': 0.39408865571022034, 'm': 0.6059113144874573})]",test,8
n1ti,m,m,"[('n', {'f': 0.8589552044868469, 'm': 0.14104482531547546}), ('1', {'f': 2.7784857593360357e-05, 'm': 0.9999722242355347}), ('t', {'f': 0.995789110660553, 'm': 0.004210858605802059}), ('i', {'f': 0.2115190327167511, 'm': 0.7884809374809265})]",test,8
ʁəʒɛ,m,m,"[('ʁ', {'f': 0.11384787410497665, 'm': 0.8861520886421204}), ('ə', {'f': 0.9699438810348511, 'm': 0.030056163668632507}), ('ʒ', {'f': 0.21165336668491364, 'm': 0.7883466482162476}), ('ɛ', {'f': 0.07351477444171906, 'm': 0.9264851808547974})]",test,8
kylt,f,m,"[('k', {'f': 0.2737855613231659, 'm': 0.7262144684791565}), ('y', {'f': 0.0727844312787056, 'm': 0.9272155165672302}), ('l', {'f': 0.31014883518218994, 'm': 0.6898511648178101}), ('t', {'f': 0.7687397003173828, 'm': 0.23126031458377838})]",test,8
ʒəle,m,f,"[('ʒ', {'f': 0.027366330847144127, 'm': 0.9726336002349854}), ('ə', {'f': 0.9564515352249146, 'm': 0.04354843124747276}), ('l', {'f': 0.6685051321983337, 'm': 0.33149492740631104}), ('e', {'f': 0.4711565673351288, 'm': 0.5288434028625488})]",test,8
pit2,m,m,"[('p', {'f': 0.4521099328994751, 'm': 0.5478900671005249}), ('i', {'f': 0.44371604919433594, 'm': 0.5562839508056641}), ('t', {'f': 0.7092079520225525, 'm': 0.2907920479774475}), ('2', {'f': 0.0010609859600663185, 'm': 0.9989389777183533})]",test,8
ʁik3,m,m,"[('ʁ', {'f': 0.11384787410497665, 'm': 0.8861520886421204}), ('i', {'f': 0.9946373105049133, 'm': 0.005362739320844412}), ('k', {'f': 0.8169105052947998, 'm': 0.18308952450752258}), ('3', {'f': 0.03489692509174347, 'm': 0.965103030204773})]",test,8
s3tʁ,m,m,"[('s', {'f': 0.2531469166278839, 'm': 0.7468530535697937}), ('3', {'f': 0.0022410908713936806, 'm': 0.9977588653564453}), ('t', {'f': 0.8968597054481506, 'm': 0.10314026474952698}), ('ʁ', {'f': 0.0004822878399863839, 'm': 0.9995176792144775})]",test,8
flɛm,m,f,"[('f', {'f': 0.12870793044567108, 'm': 0.8712920546531677}), ('l', {'f': 0.26423701643943787, 'm': 0.7357629537582397}), ('ɛ', {'f': 0.004833197221159935, 'm': 0.9951667785644531}), ('m', {'f': 0.008796288631856441, 'm': 0.991203784942627})]",test,8
patʁ,m,m,"[('p', {'f': 0.4521099328994751, 'm': 0.5478900671005249}), ('a', {'f': 0.45788371562957764, 'm': 0.5421162843704224}), ('t', {'f': 0.04466138780117035, 'm': 0.9553386569023132}), ('ʁ', {'f': 0.033287979662418365, 'm': 0.9667120575904846})]",test,8
kaʁi,f,m,"[('k', {'f': 0.2737855613231659, 'm': 0.7262144684791565}), ('a', {'f': 0.3579712510108948, 'm': 0.6420287489891052}), ('ʁ', {'f': 0.010429837740957737, 'm': 0.989570140838623}), ('i', {'f': 0.6731802225112915, 'm': 0.3268197476863861})]",test,8
salo,m,m,"[('s', {'f': 0.2531469166278839, 'm': 0.7468530535697937}), ('a', {'f': 0.20929671823978424, 'm': 0.7907033562660217}), ('l', {'f': 0.20357781648635864, 'm': 0.7964221835136414}), ('o', {'f': 0.04810021072626114, 'm': 0.9518997669219971})]",test,8
ʁOʃe,m,m,"[('ʁ', {'f': 0.11384787410497665, 'm': 0.8861520886421204}), ('O', {'f': 0.2698337733745575, 'm': 0.7301661968231201}), ('ʃ', {'f': 0.6657636761665344, 'm': 0.3342362344264984}), ('e', {'f': 0.22659480571746826, 'm': 0.7734051942825317})]",test,8
jali,f,m,"[('j', {'f': 0.8168922662734985, 'm': 0.18310771882534027}), ('a', {'f': 0.2943125069141388, 'm': 0.7056874632835388}), ('l', {'f': 0.35452738404273987, 'm': 0.6454726457595825}), ('i', {'f': 0.7480113506317139, 'm': 0.25198864936828613})]",test,8
bukɛ,m,m,"[('b', {'f': 0.20915988087654114, 'm': 0.7908400893211365}), ('u', {'f': 0.14420801401138306, 'm': 0.8557919859886169}), ('k', {'f': 0.038138676434755325, 'm': 0.9618613123893738}), ('ɛ', {'f': 0.005077733658254147, 'm': 0.9949222207069397})]",test,8
ʁido,m,m,"[('ʁ', {'f': 0.11384787410497665, 'm': 0.8861520886421204}), ('i', {'f': 0.9946373105049133, 'm': 0.005362739320844412}), ('d', {'f': 0.3340584337711334, 'm': 0.665941596031189}), ('o', {'f': 0.04057888686656952, 'm': 0.9594210982322693})]",test,8
sidʁ,m,m,"[('s', {'f': 0.2531469166278839, 'm': 0.7468530535697937}), ('i', {'f': 0.9655953049659729, 'm': 0.034404683858156204}), ('d', {'f': 0.0027108844369649887, 'm': 0.9972891807556152}), ('ʁ', {'f': 0.09145502746105194, 'm': 0.9085450172424316})]",test,8
p1t3,m,m,"[('p', {'f': 0.4521099328994751, 'm': 0.5478900671005249}), ('1', {'f': 0.0005275278817862272, 'm': 0.999472439289093}), ('t', {'f': 0.6261873245239258, 'm': 0.3738126754760742}), ('3', {'f': 0.0006273384788073599, 'm': 0.999372661113739})]",test,8
ʃili,m,m,"[('ʃ', {'f': 0.7070885300636292, 'm': 0.29291146993637085}), ('i', {'f': 0.018754256889224052, 'm': 0.981245756149292}), ('l', {'f': 0.17742343246936798, 'm': 0.8225765824317932}), ('i', {'f': 0.2572995126247406, 'm': 0.742700457572937})]",test,8
